Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,CCGT,23060
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,COAL,976
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,INTELEC,-119
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,INTEW,-32
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,INTFR,-79
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,INTIFA2,-4
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,INTIRL,-444
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,INTNED,845
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,INTNEM,-66
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,INTNSL,303
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,INTVKL,-385
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,NPSHYD,672
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,NUCLEAR,3452
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,OCGT,0
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,OIL,0
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,OTHER,676
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,PS,1079
FUELINST,2024-01-08T16:10:00Z,2024-01-08T16:05:00Z,2024-01-08,33,WIND,10760
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,BIOMASS,2993
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,CCGT,23349
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,COAL,1003
FUELINST,2024-01-08T16:05:00Z,2024-01-08T16:00:00Z,2024-01-08,33,INTELEC,-96
